spu,sku,pid,pname,price
7081550,7348365,7081550,"['荣耀10 GT游戏加速 AIS手持夜景  6GB+128GB 游戏', ' 幻影蓝 全网通 移动联通电信4G 双卡双待 游戏']",['1999.00']
100003475378,100002355147,100003475378,['三星 Galaxy S10 8GB+128GB皓玉白（SM-G9730）超感官全视屏骁龙855双卡双待全网通4G游戏'],['5999.00']
5089235,5089253,5089235,['Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G'],['5899.00']
100000822981,100000822981,100000822981,['华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G'],['3999.00']
7652089,100002677997,7652089,['小米 Redmi 7 AI双摄 3GB+32GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能'],['799.00']
100002795955,100004404920,100002795955,"['华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版', '8GB+128GB亮黑色全网通双4G']",['4288.00']
7652013,7652013,7652013,['小米 红米Redmi Note7 幻彩渐变AI双摄 4GB+64GB 梦幻蓝 全网通4G 双卡双待 水滴全面屏拍照游戏智能'],['1199.00']
5089225,6051259,5089225,['Apple iPhone 8 (A1907) 64GB 深空灰色 移动联通4G'],['3399.00']
100005093770,100005093770,100005093770,"['三星 Galaxy A60元气版 黑瞳全视屏 3200万超广角拍照', ' 骁龙675 6GB+64GB 丹宁黑 全网通4G 双卡双待']",['1489.00']
7437784,8264403,7437784,"['小米 红米6A AI美颜 3GB+32GB 流沙金 全网通4G', ' 双卡双待']",['649.00']
100000993102,100000993102,100000993102,"['魅族 Note8 全面屏', ' 4GB+64GB 曜黑 全网通移动联通电信4G', ' 双卡双待']",['799.00']
100000993265,100001240930,100000993265,"['联想K5 Pro 6GB+64GB 典雅金 千元影霸 1600万AI四摄 4050mAh大电池 全网通4G', ' 双卡双待']",['747.00']
100002293114,100002293114,100002293114,['华为 HUAWEI  畅享9  3GB+32GB 幻夜黑 高清珍珠屏 AI长续航 全网通标配版 移动联通电信4G'],['839.00']
100000349372,100000349372,100000349372,['小米8青春版 镜面渐变AI双摄 6GB+64GB 深空灰 全网通4G 双卡双待 全面屏拍照游戏智能'],['1099.00']
100003336101,100003336101,100003336101,['联想Z6 青春版 4GB+64GB 骑士黑 骁龙710  4050mAh续航 双频北斗高精度定位 后置AI三摄 全网通4G 双卡双待'],['999.00']
100005087998,100005087998,100005087998,"['魅族 16s 骁龙855全面屏拍照游戏', ' 6GB+128GB 碳纤黑 全网通移动联通电信4G', ' 双卡双待']",['2699.00']
6733024,6946603,6733024,"['华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏', ' 6GB+128GB 亮黑色 全网通移动联通电信4G', ' 双卡双待']",['3488.00']
100003138763,100003138763,100003138763,"['联想Z6 Pro 8GB+128GB 黑色 骁龙855 4800万AI四摄 4000mAh大电池 PC级液冷散热 游戏', ' 全网通4G 双卡双待']",['2798.00']
100001172674,100001172674,100001172674,"['一加', '6T 8GB+128GB 墨岩黑 超强城市夜景 光感屏幕指纹 全面屏双摄游戏', ' 全网通4G 双卡双待']",['2599.00']
100004323348,100005886344,100004323348,['华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+32GB宝石蓝全网通版双4G'],['799.00']
6946605,6946605,6946605,"['华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏', ' 6GB+64GB 亮黑色 全网通移动联通电信4G', ' 双卡双待']",['2688.00']
100003332220,100003332220,100003332220,"['vivo U1 水滴全面屏 AI智慧拍照', ' 3GB+32GB 极光色 移动联通电信全网通4G']",['749.00']
100000766433,100000766443,100000766433,"['华为 HUAWEI 畅享9 Plus 4GB+64GB 极光紫 全网通 四摄超清全面屏大电池 移动联通电信4G', ' 双卡双待']",['1389.00']
100003884564,100002535419,100003884564,['华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏4GB+128GB幻夜黑全网通版双4G'],['1789.00']
100004323348,100005886344,100004323348,['华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+32GB宝石蓝全网通版双4G'],['799.00']
6946605,6946605,6946605,"['华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏', ' 6GB+64GB 亮黑色 全网通移动联通电信4G', ' 双卡双待']",['2688.00']
100003332220,100003332220,100003332220,"['vivo U1 水滴全面屏 AI智慧拍照', ' 3GB+32GB 极光色 移动联通电信全网通4G']",['749.00']
100000766433,100000766443,100000766433,"['华为 HUAWEI 畅享9 Plus 4GB+64GB 极光紫 全网通 四摄超清全面屏大电池 移动联通电信4G', ' 双卡双待']",['1389.00']
7437708,100003434260,7437708,['小米9 4800万超广角三摄 8GB+128GB全息幻彩蓝 骁龙855 全网通4G 双卡双待 水滴全面屏拍照游戏智能'],['3299.00']
100004404954,100004404944,100004404954,['华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB亮黑色全网通版双4G'],['5488.00']
8058010,8058010,8058010,"['荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏', ' 双卡双待 游戏']",['1899.00']
13071555204,47847150994,47847150993,"['vivo Z5x【下单立减100】极点全面屏 骁龙710 广角AI三摄 5000mAh大电量', ' 极夜黑 6GB 64GB']",['1498.00']
100003936976,100002775377,100003936976,['vivo X27 8GB+128GB大内存 雀羽蓝 零界全面屏AI三摄 移动联通电信全网通4G'],['2998.00']
100003490442,100003525722,100003490442,['三星 Galaxy S10+ 8GB+128GB皓玉白（SM-G9750）3D超声波屏下指纹超感官全视屏双卡双待全网通4G游戏'],['6999.00']
12971206488,46161523011,46161523011,"['vivo【至高优惠350】Z3x新一代全面屏 高通骁龙处理器 移动联通电信全网通4G智能', ' 极光色 4GB 64GB']",['998.00']
100004245926,100005088702,100004245926,"['华为 HUAWEI 畅享 9S 6GB+64GB 幻夜黑 全网通 2400万超广角三摄珍珠屏大存储 移动联通电信4G', ' 双卡双待']",['1399.00']
5089273,5089275,5089273,['Apple iPhone 8 Plus (A1864) 64GB 深空灰色 移动联通电信4G'],['4699.00']
3133841,3133857,3133841,['Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G'],['3899.00']
100002433196,100002360619,100002433196,"['【千玺代言】华为新品 HUAWEI nova 4 极点全面屏', ' 2000万超广角三摄 6GB+128GB 亮黑色 全网通双卡双待']",['2489.00']
100005088618,100005088618,100005088618,['OPPO Reno 10倍变焦版 高通骁龙855 4800万超清三摄 6GB+128GB 雾海绿 全网通 全面屏拍照游戏智能'],['3999.00']
7437788,7437762,7437788,"['小米8 全面屏游戏智能', ' 6GB+128GB 白色 全网通4G 双卡双待']",['1899.00']
7621213,100003336093,7621213,"['联想Z5 畅享版 6GB+64GB 舒曼黑 6.2英寸全面屏双摄 全网通4G', ' 双卡双待']",['898.00']
7479810,7479810,7479810,"['荣耀Play 全网通版 6GB+64GB 极光蓝 移动联通电信4G全面屏游戏', ' 双卡双待']",['1699.00']
100000972490,100001364210,100000972490,"['荣耀Magic2魔法', ' 麒麟980AI智能芯片 超广角AI三摄 6GB+128GB 渐变蓝 移动联通电信4G', ' 双卡双待']",['2499.00']
7425622,7596939,7425622,"['荣耀 畅玩7 2GB+16GB 金色 全网通4G', ' 双卡双待']",['599.00']
100003207541,100005297794,100003207541,"['realme X青春版 2500万前置 水滴全面屏 游戏智能', ' 6GB+64GB 氮气蓝 全网通双卡']",['1299.00']
1861091,1861101,1861091,['Apple iPhone 6s Plus (A1699) 128G 深空灰 色 移动联通电信4G'],['2899.00']
100005093770,100005093764,100005093770,"['三星 Galaxy A60元气版 黑瞳全视屏 3200万超广角拍照', ' 骁龙675 6GB+64GB 浅滩蓝 全网通4G 双卡双待']",['1489.00']
13072435327,47867426887,47867426883,['一加 OnePlus 7 Pro 2K+90Hz 一加6T升级版 流体屏 骁龙855旗舰性能 超广角 曜岩灰 8G+256G'],['4659.10']
8790521,8790545,8790521,"['锤子（smartisan ) 坚果 Pro 2S 6G+64GB 炫光蓝 全面屏双摄 全网通4G', ' 双卡双待 游戏']",['1198.00']
13038146696,47297464961,47297464958,"['【新品上市】索尼（SONY）Xperia 1 骁龙855 三摄', ' 6GB+128GB 6.5英寸屏 夜黑']",['6299.00']
100002964733,100002964733,100002964733,"['vivo X27Pro 8GB+256GB大内存 黑珍珠 4800万AI三摄全面屏拍照', ' 移动联通电信全网通4G']",['3998.00']
100005945610,100005945610,100005945610,['OPPO Reno Z 4800万超清像素 超清夜景2.0 VOOC闪充 8GB+128GB 极夜黑 全网通4G 全面屏拍照游戏智能'],['2499.00']
100005702200,100003444439,100005702200,['OPPO K3 高通骁龙710 升降摄像头 VOOC闪充 6GB+64GB 晨曦白 全网通4G 全面屏拍照游戏智能'],['1599.00']
100000856861,100000856861,100000856861,"['努比亚 nubia X 双面屏 深空灰 8GB+128GB 全网通 移动联通电信4G', ' 双卡双待']",['2399.00']
7293054,7293054,7293054,"['锤子（smartisan） 坚果 R1 6G+128GB 碳黑色 全面屏双摄  全网通4G', ' 双卡双待  游戏']",['1999.00']
100004544992,100004544992,100004544992,"['OPPO Reno 4800万超清像素 NFC 超清夜景 6GB+128GB 极夜黑 全网通 双卡双待', ' 全面屏拍照游戏智能']",['2799.00']
100005150846,100005150846,100005150846,"['努比亚 nubia 红魔3游戏', ' 8GB+128GB 玄铁黑 骁龙855 内置风扇 5000mAh大电池 90Hz 全面屏拍照电竞']",['3499.00']
100001485602,100001485602,100001485602,"['vivo Z1青春版 新一代全面屏AI双摄', ' 4GB+32GB 极光色 移动联通电信全网通4G']",['949.00']
100003336101,100003336101,100003336101,['联想Z6 青春版 4GB+64GB 骑士黑 骁龙710  4050mAh续航 双频北斗高精度定位 后置AI三摄 全网通4G 双卡双待'],['999.00']
100000287133,100005182158,100000287133,['Apple iPhone XS (A2099) 64GB 深空灰色 移动联通4G'],['6699.00']
7652091,100003582587,7652091,['小米 红米Redmi K20 4800万超广角三摄 6GB+128GB 冰川蓝 全网通4G 双卡双待 全面屏拍照游戏智能'],['2099.00']
100004363706,100004363706,100004363706,"['vivo S1 6GB+128GB 冰湖蓝 2480万AI高清自拍 超广角后置三摄拍照', '  移动联通电信全网通4G']",['1998.00']
13063040232,47716923931,47716923931,"['【现货抢购！】OPPO K3 千元高通骁龙710 升降摄像头 屏下指纹全面屏', ' 秘境黑 全网通(8G RAM+128G ROM)']",['1899.00']
6949475,6735790,6949475,"['小米MIX2S 全面屏游戏拍照', ' 6GB+128GB 黑色 骁龙845处理器 全网通4G 陶瓷']",['1999.00']
100005231376,100005231376,100005231376,"['三星 Galaxy A40s 123°超广角后置三摄5000mAh大容量电池续航', ' 6GB+64GB 魅夜黑 全网通4G 双卡双待']",['1499.00']
100001233964,100000988391,100001233964,"['OPPO R15x 光感屏幕指纹', '  6G+128G 星云渐变 全网通 移动联通电信4G 双卡双待']",['1699.00']
100002727566,100002727566,100002727566,"['荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB 幻夜黑 移动联通电信4G全面屏', ' 双卡双待']",['799.00']
100003440803,100003440803,100003440803,['OPPO A9x 4800万像素 VOOC闪充 6GB+128GB 曜石黑 全网通4G 全面屏拍照游戏智能'],['1999.00']
7437564,7437564,7437564,['小米Mix3  6GB+128GB黑色  骁龙845 全网通4G 双卡双待 全面屏拍照游戏智能'],['3299.00']
7621213,100003336093,7621213,"['联想Z5 畅享版 6GB+64GB 舒曼黑 6.2英寸全面屏双摄 全网通4G', ' 双卡双待']",['898.00']
100005945610,100005966084,100005945610,['OPPO Reno Z 4800万超清像素 超清夜景2.0 VOOC闪充 6GB+256GB 极夜黑 全网通4G 全面屏拍照游戏智能'],['2499.00']
100002493099,100002493085,100002493099,"['黑鲨游戏', '2 8GB+128GB 冰封银 骁龙855 Magic Press立体操控 塔式全域液冷 全面屏 全网通4G 双卡双待']",['3199.00']
100001107001,100001107001,100001107001,"['三星 Galaxy A9s (SM-A9200)全面屏', ' 后置四摄 Bixby 6GB+128GB 鱼子黑 全网通4G 双卡双待']",['2298.00']
100003234223,100005282112,100003234223,"['OPPO A9 全面屏拍照', ' 6GB+128GB 萤石紫 全网通 移动联通电信4G 双卡双待']",['1699.00']
7437688,7437688,7437688,"['小米9 SE 4800万超广角三摄 骁龙712 水滴全面屏 游戏智能拍照', ' 6GB+64GB 全息幻彩蓝  全网通4G双卡双待']",['1999.00']
13060064429,47664479625,47664479625,"['小米红米K20pro', '【小米直供 9重好礼】 冰川蓝 全网通8G+128G']",['2799.00']
100001247225,100001247225,100001247225,"['联想Z5 Pro 6GB+64GB 陶瓷黑 滑盖全面屏 2400万AI四摄 光电屏下指纹 全网通4G', ' 双卡双待']",['1298.00']
13025377050,47088979741,47088979741,"['华为荣耀20', '【荣耀直供 15天价保】 幻影蓝 全网通8GB+128GB']",['2699.01']
100003138763,100003138763,100003138763,"['联想Z6 Pro 8GB+128GB 黑色 骁龙855 4800万AI四摄 4000mAh大电池 PC级液冷散热 游戏', ' 全网通4G 双卡双待']",['2798.00']
100002598208,100000234079,100002598208,"['OPPO A5 全面屏拍照', ' 3GB+64GB 幻镜蓝 全网通 移动联通电信4G 双卡双待']",['899.00']
8535863,8654291,8535863,"['魅族 16th 全面屏游戏', ' 6GB+128GB 远山白 全网通移动联通电信4G', '  双卡双待']",['2198.00']
100001893367,100004771706,100001893367,['小米Play 流光渐变AI双摄 4GB+64GB 暮光金 全网通4G 双卡双待 小水滴全面屏拍照游戏智能'],['749.00']
7652029,7652029,7652029,['小米 Redmi K20Pro 4800万超广角三摄 8GB+256GB 碳纤黑 骁龙855 全网通4G 双卡双待 全面屏拍照游戏智能'],['2999.00']
100003138763,100003138763,100003138763,"['联想Z6 Pro 8GB+128GB 黑色 骁龙855 4800万AI四摄 4000mAh大电池 PC级液冷散热 游戏', ' 全网通4G 双卡双待']",['2798.00']
100002598208,100000234079,100002598208,"['OPPO A5 全面屏拍照', ' 3GB+64GB 幻镜蓝 全网通 移动联通电信4G 双卡双待']",['899.00']
8535863,8654291,8535863,"['魅族 16th 全面屏游戏', ' 6GB+128GB 远山白 全网通移动联通电信4G', '  双卡双待']",['2198.00']
100001893367,100004771706,100001893367,['小米Play 流光渐变AI双摄 4GB+64GB 暮光金 全网通4G 双卡双待 小水滴全面屏拍照游戏智能'],['749.00']
13067738836,47826463899,47790997273,"['OPPO K3', '【三色现货+套装赠蓝牙音箱】高通骁龙710 升降摄像头 VOOC闪充 星云紫（8G+128G） 官方标配']",['1899.00']
44221160776,44221160776,44221160776,"['OPPO Reno', '【低至2799元+蓝牙耳机+12期免息+碎屏险】全面屏拍照', ' 全网通双卡双待 极夜黑 (6G+128G)']",['2799.00']
11891899153,31545088844,31545088844,"['Apple 苹果 iPhone XR ', ' 黑色 全网通 128GB']",['5388.00']
100004739684,100004739684,100004739684,['诺基亚 NOKIA X71 6GB+64GB 太空黑 蔡司认证 后置三摄 全网通 双卡双待 移动联通电信4G'],['1999.00']
5963066,5912071,5963066,"['华为 HUAWEI nova 2S 全面屏四摄 4GB +64GB浅艾蓝 移动联通电信4G', ' 双卡双待']",['1399.00']
12994955993,46560551092,46560551081,"['OPPO K3', ' 【套餐秒杀赠音箱】 高通骁龙710 VOOC闪充 128G大内存游戏', ' 秘境黑（8G+128G） 超值套餐']",['1899.00']
12980493439,46310687770,46310687770,"['一加 OnePlus 7pro ', ' 2K+90Hz 流体屏 骁龙855 4800万超广角三摄 曜岩灰 8+256']",['4659.00']
100000822981,100000822981,100000822981,['华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G'],['3999.00']
8024543,8024543,8024543,['OPPO Find X曲面全景屏 8GB+128GB 波尔多红 全网通 移动联通电信全网通4GB 双卡双待'],['3999.00']
13065195571,47793749183,47769223312,"['realme X ', ' 全网通 朋克蓝 (4G+64G)']",['1499.00']
100000400130,100000400130,100000400130,"['魅族 16 X 全面屏游戏', ' 6GB+64GB 砚墨黑 全网通移动联通电信4G', ' 双卡双待']",['1598.00']
13055188378,47584928787,47584928787,"['realme X ', ' 朋克蓝 全网通6G+64G']",['1599.00']
13136125091,48907867324,48907867323,"['OPPO Reno Z', '【送蓝牙耳机+碎屏险+晒单礼】4800万超清像素 超清夜景2.0 星辰紫(8G+128G) 全网通']",['2499.00']
100003313379,100003313379,100003313379,"['中兴ZTE Blade A7 2+32GB 极夜黑  水滴全面屏 1600万像素高清后摄 移动联通电信全网通4G', '  双卡双待']",['599.00']
100000084109,100000730054,100000084109,"['荣耀8X Max 骁龙660 7.12英寸90%屏占比珍珠屏 6GB+64GB 魅海蓝 移动联通电信4G全面屏', ' 双卡双待']",['1499.00']
13121643068,48676863457,48676863453,"['【6期免息+蓝牙音响】OPPO Reno Z水滴屏全面屏游戏拍照', ' 全网通', ' 星辰紫 全网通(8G RAM+128G ROM)']",['2499.00']
100001247225,100001247225,100001247225,"['联想Z5 Pro 6GB+64GB 陶瓷黑 滑盖全面屏 2400万AI四摄 光电屏下指纹 全网通4G', ' 双卡双待']",['1298.00']
100000827661,100000827661,100000827661,"['魅族 X8 准旗舰游戏拍照', ' 4GB+64GB 亮黑 全网通移动联通电信4G', ' 双卡双待']",['1098.00']
100005274252,100005274306,100005274252,['中兴天机 AXON 10 Pro 八曲面水滴全面屏 4800万超广角AI三摄 骁龙855 8GB+256GB 移动联通电信全网通 4G'],['3699.00']
6176077,6176077,6176077,"['小辣椒 红辣椒7X 4+64GB 学生智能', ' 美颜双摄 微Q多开 人脸识别 移动联通电信4G全网通 蓝色']",['638.00']
100001548579,100002069408,100001548579,"['努比亚 nubia 红魔Mars电竞', ' 全面屏 游戏', ' 8GB+128GB 曜石黑 移动联通电信4G', ' 双卡双待']",['2499.00']
8348845,8348845,8348845,"['诺基亚 NOKIA 8110 移动联通4G', ' 黑色 直板按键  双卡双待 经典复刻 炫酷滑盖 4G热点备用功能机']",['399.00']
6405876,6577495,6405876,"['三星 Galaxy S9+  6GB+128GB 谜夜黑 （SM-G9650/DS）全视曲面屏   杜比音效全网通4G 游戏', ' 双卡双待']",['4298.00']
7651927,7651903,7651927,"['小米 红米6 全网通版 3GB内存 流沙金 32GB 移动联通电信4G', ' 双卡双待']",['669.00']
100003258297,100003258297,100003258297,"['vivo S1Pro 8GB+128GB 钟情蓝 3200万AI高清自拍 超广角后置三摄拍照', ' 移动联通电信全网通4G']",['2698.00']
100002642218,100002544828,100002642218,['荣耀V20 胡歌同款 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻夜黑 移动联通电信4G全面屏'],['2399.00']
100003622444,100003982266,100003622444,"['魅族 Note9 全面屏游戏拍照', ' 6GB+64GB 幻黑 全网通移动联通电信4G', ' 双卡双待']",['1299.00']
100003603159,100003603159,100003603159,"['酷派 cool 9 珍珠全面屏 4GB+64GB 人脸指纹双识别 私密双系统 8层镀陶 极光色 移动联通电信4G', ' 双卡双待']",['599.00']
100002332162,100002997682,100002332162,"['【独角精灵版】三星 Galaxy A8s 6GB+128GB莓什么（SM-G8870）黑瞳全视屏', ' 骁龙710芯片全网通4G 双卡双待']",['2089.00']
100005231376,100005231376,100005231376,"['三星 Galaxy A40s 123°超广角后置三摄5000mAh大容量电池续航', ' 6GB+64GB 魅夜黑 全网通4G 双卡双待']",['1499.00']
12847308420,44076405947,44076405945,"['华为P30 Pro ', '【分期免息当天发送无线充+碎屏险1年】 超感光徕卡四摄 天空之境 全网通（8G+128G）无线充电 屏内指纹']",['5588.00']
100002433196,100002433196,100002433196,"['【千玺代言】华为', ' HUAWEI nova 4 极点全面屏', ' 4800万超广角三摄 8GB+128GB 亮黑色 全网通双卡双待']",['2789.00']
13062827961,47714421355,47714421355,"['vivo S1Pro 6+128G 3200万AI高清自拍 超广角后置三摄移动联通电信全网通4G', ' 钟情蓝 6GB 128GB']",['2498.00']
100003395443,100003395443,100003395443,['荣耀20 PRO 4800万全焦段AI四摄 双光学防抖 麒麟Kirin980全网通版8GB+128GB 蓝水翡翠 移动联通电信4G全面屏'],['3199.00']
12883524369,47928923001,47901957092,"['一加7 Pro', ' OnePlus7Pro 1+7Pro 一加6T升级版 ', ' 曜岩灰 8G+256G']",['4658.00']
100003242113,100003242113,100003242113,"['天语（K-TOUCH）S8 全网通 智能老人', ' 移动联通电信4G  超长待机 直板按键 学生备用老年', ' 黑色']",['299.00']
11931466831,32242288360,32242288360,"['Apple 苹果 iPhone XR ', ' 黑色 全网通64GB']",['4958.00']
32796441851,33724889499,32796441851,"['【下单立减100元！】OPPO K1 首款千元屏下指纹解锁', ' 6.4英寸水滴屏 梵星蓝（4+64G）']",['1199.00']
13122931907,48701716291,48701716291,"['OPPO Reno Z 【分期免息+购机豪礼】 大内存拍照', ' 游戏', ' 双卡双待 全网通 星辰紫（8G+128G） 标准套餐']",['2499.00']
2321948,4720749,2321948,"['诺基亚（NOKIA）新105 黑色 直板按键 移动联通2G', ' 老人', ' 学生备用功能机']",['139.00']
13105063564,49472644931,48398715224,"['OPPO K3【秒杀送小爱音响】 oppok3', '正品oppo全新k3官方旗舰 晨曦白 6GB+64GB']",['1599.00']
7652093,7652093,7652093,['小米 红米Redmi 7A AI美颜 2GB+16GB 磨砂黑 全网通4G 双卡双待 拍照游戏智能'],['549.00']
100004542248,100004542248,100004542248,"['飞利浦（PHILIPS） E319 香槟金 大屏超长待机 直板按键 移动联通 老人', ' 双卡双待 学生老年备用功能']",['199.00']
